@ NAME             %08s "TRACKONE"
@ TYPE             %08s "TRACKONE"
@ TITLE            %08s "no-title"
@ ORIGIN           %23s "MAD-X 5.00.15 Darwin 64"
@ DATE             %08s "01/04/12"
@ TIME             %08s "18.32.06"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
#segment       1      13      80       0 start                                           
         33          1      0.04037749306     0.005041110335     0.003962369072   -0.0005009543002                  0                  0               0.15                6.7
         34          1     0.004037749067    0.0005041110274     0.000396236931   -5.009543062e-05                  0                  0               0.15                6.7
         35          1    0.0004037749064    5.041110274e-05    3.962369313e-05   -5.009543062e-06                  0                  0               0.15                6.7
         37          1      -0.4037773293     -0.05041116348     -0.03962345216     0.005009537012                  0                  0               0.15                6.7
         38          1     -0.04037749306    -0.005041110335    -0.003962369072    0.0005009543002                  0                  0               0.15                6.7
         39          1    -0.004037749067   -0.0005041110274    -0.000396236931    5.009543062e-05                  0                  0               0.15                6.7
         40          1   -0.0004037749064   -5.041110274e-05   -3.962369313e-05    5.009543062e-06                  0                  0               0.15                6.7
         42          1       0.5047233687      0.06301399711      0.04952914542    -0.006261917005                  0                  0               0.15                6.7
         43          1      0.05047186803     0.006301387961     0.004952961171    -0.000626192871                  0                  0               0.15                6.7
         44          1     0.005047186335    0.0006301387844    0.0004952961636   -6.261928827e-05                  0                  0               0.15                6.7
         45          1     0.000504718633    6.301387842e-05    4.952961641e-05   -6.261928828e-06                  0                  0               0.15                6.7
         47          1      -0.5047233687     -0.06301399711     -0.04952914542     0.006261917005                  0                  0               0.15                6.7
         48          1     -0.05047186803    -0.006301387961    -0.004952961171     0.000626192871                  0                  0               0.15                6.7
         49          1    -0.005047186335   -0.0006301387844   -0.0004952961636    6.261928827e-05                  0                  0               0.15                6.7
         50          1    -0.000504718633   -6.301387842e-05   -4.952961641e-05    6.261928828e-06                  0                  0               0.15                6.7
         52          1       0.6056705501      0.07561685933       0.0594347251     -0.00751429415                  0                  0               0.15                6.7
         53          1      0.06056624413     0.007561665616     0.005943553157   -0.0007514314389                  0                  0               0.15                6.7
         54          1     0.006056623604    0.0007561665413    0.0005943553961   -7.514314591e-05                  0                  0               0.15                6.7
         55          1    0.0006056623596    7.561665411e-05    5.943553969e-05   -7.514314593e-06                  0                  0               0.15                6.7
         57          1      -0.6056705501     -0.07561685933      -0.0594347251      0.00751429415                  0                  0               0.15                6.7
         58          1     -0.06056624413    -0.007561665616    -0.005943553157    0.0007514314389                  0                  0               0.15                6.7
         59          1    -0.006056623604   -0.0007561665413   -0.0005943553961    7.514314591e-05                  0                  0               0.15                6.7
         60          1   -0.0006056623596   -7.561665411e-05   -5.943553969e-05    7.514314593e-06                  0                  0               0.15                6.7
         62          1        0.706619106      0.08821975593      0.06934016807    -0.008766667872                  0                  0               0.15                6.7
         63          1      0.07066062159     0.008821943304     0.006934145008   -0.0008766700035                  0                  0               0.15                6.7
         64          1     0.007066060875    0.0008821942983    0.0006934146285   -8.766700356e-05                  0                  0               0.15                6.7
         65          1    0.0007066060862    8.821942979e-05    6.934146297e-05   -8.766700359e-06                  0                  0               0.15                6.7
         67          1       -0.706619106     -0.08821975593     -0.06934016807     0.008766667872                  0                  0               0.15                6.7
         68          1     -0.07066062159    -0.008821943304    -0.006934145008    0.0008766700035                  0                  0               0.15                6.7
         69          1    -0.007066060875   -0.0008821942983   -0.0006934146285    8.766700356e-05                  0                  0               0.15                6.7
         70          1   -0.0007066060862   -8.821942979e-05   -6.934146297e-05    8.766700359e-06                  0                  0               0.15                6.7
         72          1       0.8075692711       0.1008226927        0.079245451     -0.01001903759                  0                  0               0.15                6.7
         73          1      0.08075500064      0.01008222103       0.0079247367    -0.001001908564                  0                  0               0.15                6.7
         74          1     0.008075498148     0.001008222055    0.0007924738606   -0.0001001908612                  0                  0               0.15                6.7
         75          1    0.0008075498129    0.0001008222055    7.924738626e-05   -1.001908612e-05                  0                  0               0.15                6.7
         77          1      -0.8075692711      -0.1008226927       -0.079245451      0.01001903759                  0                  0               0.15                6.7
         78          1     -0.08075500064     -0.01008222103      -0.0079247367     0.001001908564                  0                  0               0.15                6.7
         79          1    -0.008075498148    -0.001008222055   -0.0007924738606    0.0001001908612                  0                  0               0.15                6.7
         80          1   -0.0008075498129   -0.0001008222055   -7.924738626e-05    1.001908612e-05                  0                  0               0.15                6.7
#segment       3      13      20    2550 end                                             
          4          1   -0.0008883240664     8.14882419e-05   -8.345614096e-05    4.620308056e-06                  0                  0         1195.02992                6.7
          5          1   -8.913607858e-05    7.837849986e-06   -8.273073056e-06    4.660520163e-07                  0                  0         1195.02992                6.7
          9          1     0.000880147737   -8.187894345e-05    8.312511257e-05   -4.648993975e-06                  0                  0         1195.02992                6.7
         10          1    8.905201038e-05   -7.842669055e-06    8.269710464e-06   -4.663150933e-07                  0                  0         1195.02992                6.7
         14          1    -0.001740285717    0.0001827965303   -0.0001705711864    9.011811411e-06                  0                  0         1195.02992                6.7
         15          1   -0.0001783159785    1.569087558e-05   -1.655303143e-05    9.316792962e-07                  0                  0         1195.02992                6.7
         19          1     0.001710606428   -0.0001832776889    0.0001693324989   -9.155816809e-06                  0                  0         1195.02992                6.7
         20          1    0.0001779800466   -1.571003099e-05    1.653958687e-05   -9.327344742e-07                  0                  0         1195.02992                6.7
         25          1   -0.0002674991125    2.357916504e-05   -2.484338563e-05    1.396716367e-06                  0                  0         1195.02992                6.7
         30          1     0.000266744305   -2.362184894e-05    2.481315724e-05   -1.399101313e-06                  0                  0         1195.02992                6.7
         35          1   -0.0003566443773    3.152290176e-05   -3.314762725e-05    1.860993048e-06                  0                  0         1195.02992                6.7
         40          1    0.0003553050525   -3.159774837e-05    3.309394307e-05   -1.865259795e-06                  0                  0         1195.02992                6.7
         45          1   -0.0004457100427    3.954234155e-05   -4.146922237e-05    2.324333441e-06                  0                  0         1195.02992                6.7
         50          1    0.0004436224746     -3.9657217e-05    4.138545331e-05   -2.331054201e-06                  0                  0         1195.02992                6.7
         55          1   -0.0005346536295     4.76578119e-05   -4.981160453e-05    2.786554969e-06                  0                  0         1195.02992                6.7
         60          1    0.0005316565831    -4.78195892e-05    4.969117878e-05   -2.796327912e-06                  0                  0         1195.02992                6.7
         65          1   -0.0006234317773    5.588969508e-05   -5.817816771e-05    3.247467369e-06                  0                  0         1195.02992                6.7
         70          1    0.0006193671082   -5.610403643e-05    5.801458667e-05   -3.260922386e-06                  0                  0         1195.02992                6.7
         75          1   -0.0007120001239    6.425841888e-05   -6.657225924e-05    3.706871598e-06                  0                  0         1195.02992                6.7
         80          1     0.000706713368   -6.452956357e-05    6.635911521e-05   -3.724676141e-06                  0                  0         1195.02992                6.7
#segment       4      13      20       2 QDI                                             
          4          2   -0.0008844457535   -2.969622132e-05   -8.198014145e-05    1.502877001e-05                  0                  0               0.15                6.7
          5          2    -8.87979059e-05   -3.321802177e-06   -8.125554259e-06    1.497775445e-06                  0                  0               0.15                6.7
          9          2    0.0008761334724    2.827138816e-05    8.164793788e-05   -1.501572854e-05                  0                  0               0.15                6.7
         10          2    8.871231919e-05    3.306342701e-06    8.122183963e-06   -1.497614921e-06                  0                  0               0.15                6.7
         14          2    -0.001729203576   -3.480267543e-05   -0.0001676189786    3.028912383e-05                  0                  0               0.15                6.7
         15          2   -0.0001776377631   -6.633808225e-06   -1.625799257e-05    2.995992457e-06                  0                  0               0.15                6.7
         19          2     0.001699171795    3.057656182e-05    0.0001663704112   -3.027664302e-05                  0                  0               0.15                6.7
         20          2    0.0001772957787    6.572135309e-06    1.624451671e-05    -2.99535393e-06                  0                  0               0.15                6.7
         25          2   -0.0002664755789   -9.910625217e-06   -2.440081716e-05     4.49492677e-06                  0                  0               0.15                6.7
         30          2    0.0002657072253    9.772411799e-06    2.437051653e-05   -4.493503519e-06                  0                  0               0.15                6.7
         35          2   -0.0003552668248    -1.31266991e-05   -3.255751223e-05     5.99484709e-06                  0                  0               0.15                6.7
         40          2    0.0003539035981    1.288235404e-05    3.250369508e-05   -5.992350366e-06                  0                  0               0.15                6.7
